website,description
ycharts.com,米国の金融市場に関するデータ、チャート、分析を提供するプラットフォーム
economy.com,世界経済に関するデータ、ニュース、分析を提供する Moody's Analytics のウェブサイト
bls.gov,米国労働統計局の公式サイト。雇用、失業、インフレなどの統計データを提供
tradingeconomics.com,世界各国の経済指標に関するデータ、チャート、予測を提供するプラットフォーム
factset.com,金融データと分析ツールを提供する企業
investing.com,金融市場に関するニュース、データ、分析を提供するプラットフォーム
nasdaq.com,ナスダック証券取引所の公式サイト。株価情報、ニュース、企業情報などを提供
jpmorgan.com,JPMorgan Chase & Co. の公式サイト。金融サービス、投資、経済分析などを提供
federalreserve.gov,米国連邦準備制度理事会（FRB）の公式サイト。金融政策、経済データ、ニュースなどを提供
cboe.com,Cboe グローバル・マーケッツの公式サイト。オプション取引、市場統計などを提供
advisorperspectives.com,金融アドバイザー向けのニュース、分析、解説を提供するウェブサイト
ii.co.uk,イギリスの投資プラットフォーム Interactive Investor のウェブサイト
tradingview.com,トレーダーや投資家向けのチャートツールとソーシャルネットワーク
seattlepi.com,シアトル・ポスト・インテリジェンサーのオンラインニュースサイト
investopedia.com,投資、金融、経済に関する教育コンテンツを提供するウェブサイト
eoption.com,オンライン証券会社 eOption のウェブサイト
zacks.com,株式投資に関する調査、分析、推奨を提供する Zacks Investment Research のウェブサイト
fred.stlouisfed.org,セントルイス連邦準備銀行が提供する経済データプラットフォーム FRED (Federal Reserve Economic Data)
yahoo.com,Yahoo! が運営するニュース、金融情報などを提供するポータルサイト
marketpulse.com,金融市場に関するニュースと分析を提供するウェブサイト
nuveen.com,投資運用会社 Nuveen の公式サイト
fxstreet.com,外国為替市場に関するニュース、分析、教育コンテンツを提供するプラットフォーム
federalregister.gov,米国政府の公式日報
dlapiper.com,国際的な法律事務所 DLA Piper のウェブサイト
comerica.com,米国の金融機関 Comerica Bank の公式サイト
rigzone.com,石油・ガス産業に関するニュースと情報を提供するウェブサイト
kpmg.com,世界的な会計事務所 KPMG のウェブサイト
wellsfargoadvisors.com,米国の金融サービス会社 Wells Fargo Advisors のウェブサイト
fool.com,個人投資家向けの金融情報とアドバイスを提供するウェブサイト
ameriprise.com,米国の金融サービス会社 Ameriprise Financial のウェブサイト
realpage.com,不動産市場分析とソフトウェアを提供する RealPage のウェブサイト
census.gov,米国国勢調査局の公式サイト。人口、経済、社会に関する統計データを提供
bea.gov,米国商務省経済分析局の公式サイト。GDPなどの経済統計データを提供
newyorkfed.org,ニューヨーク連邦準備銀行の公式サイト
cmegroup.com,世界最大の先物取引所 CME Group の公式サイト
wellington.com,投資運用会社 Wellington Management の公式サイト
hklaw.com,国際的な法律事務所 Holland & Knight のウェブサイト
usbank.com,米国の金融機関 US Bank の公式サイト
fanniemae.com,米国の住宅金融機関 Fannie Mae の公式サイト
lightboxre.com,小売不動産に関する洞察を提供するウェブサイト
icmarkets.com,外国為替ブローカー IC Markets のウェブサイト
ers.usda.gov,米国農務省経済調査局のウェブサイト。食料価格に関する情報を提供
cbsnews.com,米国のニュース放送局 CBS News のウェブサイト
statestreet.com,金融サービス会社 State Street の公式サイト
forexlive.com,外国為替市場に関するニュースと分析を提供するプラットフォーム
ecb.europa.eu,欧州中央銀行の公式サイト
conference-board.org,シンクタンク The Conference Board のウェブサイト
bbvaresearch.com,スペインの金融機関 BBVA の調査部門
morningstar.com,金融情報と投資調査を提供する Morningstar のウェブサイト
litefinance.org,オンライン外国為替ブローカー LiteFinance のウェブサイト
woodmac.com,エネルギー、金属、鉱業に関するコンサルティング会社 Wood Mackenzie のウェブサイト
aba.com,米国銀行協会 (American Bankers Association) の公式サイト
ucr.edu,カリフォルニア大学リバーサイド校の公式サイト
russellinvestments.com,投資運用会社 Russell Investments の公式サイト
dol.gov,米国労働省の公式サイト
realpage.com,不動産市場分析とソフトウェアを提供する RealPage のウェブサイト
td.com,カナダの金融機関 TD Bank の公式サイト
weforum.org,世界経済フォーラムの公式サイト
kaseco.com,金融市場分析を提供する Kase and Company のウェブサイト